URL,Title,Price,Rating,Reviews,DeSription,Product
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199.00",4.1 out of 5 stars,"51,380 ratings","Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No
             Outer Material: Polyester, Color: Black
             Water Resistance: Water resistant , not Waterproof
             Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters
             Number of Wheels: 0, Number of compartments: 3
             Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of
             Mesh pockets on both sides to accommodate your sipper or bottle and umbrella
             Mesh Padding on back & shoulder strap to provide comfort & better back support","From the manufacturer
              Read more
              Read more
              Read more
              Read more
              Read more"

https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565.00,4.3 out of 5 stars,"9,233 ratings","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.
             Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.
             Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.
             Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks
             1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty
             Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.
           ›
           See more product details","Product Description
                Ergonomic Contoured Shape
                     With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!
                     Fits Your Laptop
                     Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.
                     Strong and Lightweight
                     Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.
                Read more
                   Padded Back Straps
                   The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.
                   Spacious Storage
                   Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.
                   Back Support
                   It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.
                   A Bag for any weather
                   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.
                   
"https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-5,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499.00,3.9 out of 5 stars,463 ratings,"Material: Water Resistant Light-Weight Polyester
             Compartments: 2 with padding; Laptop Size: 15.6 inch and below
             Dimensions: LxWxH - 12.5 x 7.5 x 19 inches
             Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders
             Closure Type: Zipper","Product Description
                DESCRIPTION
             Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.
            Highlights
            Backpack Features
               Highlights
              Read more
                Available in 3 colors
              Read more"

https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-6,Skybags Brat Black 46 Cms Casual Backpack,₹669.00,4.1 out of 5 stars,"3,373 ratings","Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,","From the manufacturer
        


























              Read more
             



























              Read more
             



























              Read more
             



























              Read more
             



























              Read more"
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-7,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,191 ratings","HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.
                 



                  FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access
                 



                  MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella
                 



                  COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps
                 



                  WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects","From the manufacturer
        


























              Read more
             



























              Read more
             



























              Read more
             



























              Read more
             



























              Read more"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-8,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889.00,4.3 out of 5 stars,"5,318 ratings","MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.
            



             Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.
            



             Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment
            



             Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.
            



             Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects","From the manufacturer
        































































                   Artificial Leather Material
                  

                   The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting.
                  





                   Water Resistant Fabric
                  

                   The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended.
                  





                   Fit-For-All Occasions
                  

                   This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment.
                  
















              Read more
             














































                   Spacious Compartment
                  

                   With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well.
                  





                   Zipper Closure
                  

                   The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience.
                  





                   Ergonomic Grab Handles
                  

                   There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product.
                  
















              Read more
             



























              Read more"
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-9,"TRUE HUMAN® Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag ,college bags,travel bag ( legend )",₹699.00,3.7 out of 5 stars,"1,703 ratings","Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.","Product Description
        








            True Human Emperor anti theft backpack ( LEGEND )
           





            Perfectly designed Bag
           



              The bag is aesthetically designed and hand crafted by experts to ensure consistent superior quality and high value for customers . To meet your day to day need, The Laptop Backpack is a lightweight, multi-utility bag .
             






















































                   Ease of Access
                  


                    Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.
                   






                   Anti - Theft Pocket
                  


                    Hidden storage pocket
                   
                   for important documents like passports, tickets, cash while on the go.
                  





                   The best in class Anti-Theft
                  

                   This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality.
                  
















              Read more
             

















                Integrated Fast charging port
               




                   Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices  , with free USB (power bank not included )
                  
















              Read more"
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-10,DEIN KLEIDER Men's Nylon Messenger Bag,₹349.00,4.0 out of 5 stars,"4,398 ratings","ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.
              



               WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.
              



               CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.
              



               Outer Material Type: Nylon","Product Description
        











































                  Premium Built Quality
                 

                  Keeping in mind the average usage by an average Indian, this casual backpack is manufactured using top grade nylon and robust hardware to ensure long life.
                 


                   An ideal cross body bag for:
                  







                       School
                      





                       College
                      





                       Daily Commute
                      





                       Travelling
                      





                       Execise/Yoga
                      









                 Cross body Sling Bag
                

                 Black
                


                  Style
                 
                 : Casual
                


                  Ideal For
                 
                 : Students, Executives, Travelers, Daily Commuters, morning walk etc.
                


                  Material:
                 
                 Nylon
                


                  Specifications
                 
                 :
                







                       Premium nylon material
                      





                       Ergonomic design
                      





                       Crafted In India
                      





                       Dimensions: 8.75 x 6.25 x 2.75 inches
                      




















              Read more
             











            Make your presence felt
           

            Grey | Black | Blue
           












































                   Ergonomic Design
                  

                   This cross-body bag comes with an adjustable shoulder strap & a comfortable size so that you can carry all your daily essentials easily.
                  





                   Slim Profile
                  

                   A light weight design & slim profile makes this bag perfect for carrying all day.
                  





                   Large Capacity
                  

                   With a main central pocket along with a front and a back zipper pocket, you can carry all your essentials like phone, wallet, diary, tablet, water bottle & much more.
                  
















              Read more
             

















                A Perfect Gift
               

                An ergonomically great design & premium hardware makes this cross body sling bag a perfect gift for your loved ones.
               













              Read more"
https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675450001&sprefix=ba%2Caps%2C283&sr=8-13,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹510.00,5.0 out of 5 stars,2 ratings,"Care Instructions: Machine Wash
              



               Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.
              



               Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.
              



               Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",
